work_local,position_link,position_type,position_name,publish_times,position_number
深圳,position_detail.php?id=39206&keywords=&tid=0&lid=0,产品/项目类,25663-移动云项目经理,2018-04-16,1
深圳,position_detail.php?id=39208&keywords=&tid=0&lid=0,产品/项目类,22090-拍摄器产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39196&keywords=&tid=0&lid=0,产品/项目类,19511-腾讯游戏学院营运总监（深圳）,2018-04-16,1
深圳,position_detail.php?id=39198&keywords=&tid=0&lid=0,市场类,19511-腾讯游戏评测经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39200&keywords=&tid=0&lid=0,技术类,18797-IOS客户端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39187&keywords=&tid=0&lid=0,产品/项目类,18402-次世代高自由度MMORPG手游本地化&商业化（深圳）,2018-04-16,1
深圳,position_detail.php?id=39195&keywords=&tid=0&lid=0,技术类,18425-商户系统及应用开发研发工程师,2018-04-16,1
深圳,position_detail.php?id=39197&keywords=&tid=0&lid=0,技术类,MIG03-高级后台测试开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39199&keywords=&tid=0&lid=0,技术类,22090-短视频推荐算法工程师（深圳）,2018-04-16,2
广州,position_detail.php?id=39202&keywords=&tid=0&lid=0,产品/项目类,MIG08-客户端产品经理（腾讯WiFi管家）,2018-04-16,1
深圳,position_detail.php?id=39189&keywords=&tid=0&lid=0,产品/项目类,23516-二次元产品数据分析（深圳）,2018-04-16,1
深圳,position_detail.php?id=39190&keywords=&tid=0&lid=0,产品/项目类,23516-二次元手游版本管理（深圳）,2018-04-16,1
北京,position_detail.php?id=39192&keywords=&tid=0&lid=0,设计类,24547-广告产品UI&视觉设计师（北京）,2018-04-16,1
北京,position_detail.php?id=39194&keywords=&tid=0&lid=0,职能类,20764-政策合作专家(北京),2018-04-16,1
深圳,position_detail.php?id=39183&keywords=&tid=0&lid=0,产品/项目类,21228-集换式卡牌游戏版本管理（深圳）,2018-04-16,1
西安,position_detail.php?id=39185&keywords=&tid=0&lid=0,技术类,18428-财付通清算业务测试工程师（西安）,2018-04-16,2
深圳,position_detail.php?id=39191&keywords=&tid=0&lid=0,技术类,15569-Unity3D高级游戏引擎工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39193&keywords=&tid=0&lid=0,产品/项目类,23517-剑网3手游市场推广（深圳）,2018-04-16,1
深圳,position_detail.php?id=39181&keywords=&tid=0&lid=0,技术类,18436-资产证券化云平台高级风控模型经理（深圳）,2018-04-16,2
上海,position_detail.php?id=39184&keywords=&tid=0&lid=0,产品/项目类,18402-SLG手游数据分析（上海）,2018-04-16,1
深圳,position_detail.php?id=39186&keywords=&tid=0&lid=0,产品/项目类,18402-次世代高自由度MMORPG手游数据分析（深圳）,2018-04-16,1
深圳,position_detail.php?id=39188&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告知识管理工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39176&keywords=&tid=0&lid=0,市场类,SNG16-腾讯音乐高级市场策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39178&keywords=&tid=0&lid=0,产品/项目类,18402-火影忍者手游渠道运营（深圳）,2018-04-16,1
北京,position_detail.php?id=39182&keywords=&tid=0&lid=0,技术类,OMG097-前端开发工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=39170&keywords=&tid=0&lid=0,产品/项目类,22090-合作拓展运营经理（深圳）,2018-04-16,2
美国,position_detail.php?id=39174&keywords=&tid=0&lid=0,技术类,22989-Storage Hardware Engineer（美国）,2018-04-16,1
深圳,position_detail.php?id=39177&keywords=&tid=0&lid=0,市场类,SNG16-腾讯音乐市场合作经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39180&keywords=&tid=0&lid=0,技术类,25923-计算资源平台web前端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39168&keywords=&tid=0&lid=0,产品/项目类,22090-用户运营产品经理（深圳）,2018-04-16,2
美国,position_detail.php?id=39171&keywords=&tid=0&lid=0,技术类,22989-Network Hardware Engineer（美国）,2018-04-16,1
美国,position_detail.php?id=39172&keywords=&tid=0&lid=0,技术类,22989-Compute Hardware Engineer(美国）,2018-04-16,1
深圳,position_detail.php?id=39175&keywords=&tid=0&lid=0,技术类,22090-数据分析产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39164&keywords=&tid=0&lid=0,市场类,SNG16-腾讯音乐校园推广经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39166&keywords=&tid=0&lid=0,产品/项目类,15570-RTS+SLG手游研发策划（深圳）,2018-04-16,1
美国,position_detail.php?id=39155&keywords=&tid=0&lid=0,市场类,HY5-Senior Market Research Analyst,2018-04-16,1
深圳,position_detail.php?id=39173&keywords=&tid=0&lid=0,职能类,SHR-HRBP（深圳）,2018-04-16,1
上海,position_detail.php?id=39169&keywords=&tid=0&lid=0,,SNG16-腾讯音乐公关主管（新媒体策划方向）（上海）,2018-04-16,1
深圳,position_detail.php?id=39165&keywords=&tid=0&lid=0,,SNG16-腾讯音乐公关经理（内容策划方向）（深圳）,2018-04-16,1
北京,position_detail.php?id=39167&keywords=&tid=0&lid=0,市场类,21528-海外版权商务拓展（北京）,2018-04-16,1
北京,position_detail.php?id=39158&keywords=&tid=0&lid=0,产品/项目类,22086-腾讯体育产品经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39159&keywords=&tid=0&lid=0,产品/项目类,25927-QM平台产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39161&keywords=&tid=0&lid=0,技术类,TEG13-运维开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39163&keywords=&tid=0&lid=0,产品/项目类,17520-竞速类游戏运营(深圳),2018-04-16,4
北京,position_detail.php?id=39152&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新产品数据产品经理,2018-04-16,1
美国,position_detail.php?id=39154&keywords=&tid=0&lid=0,市场类,"HY5-Director, Strategic Game Partnerships",2018-04-16,1
北京,position_detail.php?id=39160&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告算法工程师（研发中心 北京）,2018-04-16,2
深圳,position_detail.php?id=39162&keywords=&tid=0&lid=0,产品/项目类,18402-MMOPRG品类数据分析(天龙八部手游)（深圳）,2018-04-16,1
北京,position_detail.php?id=39150&keywords=&tid=0&lid=0,技术类,22851-腾讯视频新产品后台开发工程师,2018-04-16,1
深圳,position_detail.php?id=39153&keywords=&tid=0&lid=0,市场类,26787-游戏合作商务,2018-04-16,1
美国,position_detail.php?id=39156&keywords=&tid=0&lid=0,市场类,HY5-Sr. Manager/ Director of Business Development,2018-04-16,1
美国,position_detail.php?id=39157&keywords=&tid=0&lid=0,市场类,HY5-Sr. Executive Assistant,2018-04-16,1
北京,position_detail.php?id=39145&keywords=&tid=0&lid=0,设计类,22851-腾讯视频新产品设计师,2018-04-16,1
北京,position_detail.php?id=39147&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新业务产品经理,2018-04-16,1
北京,position_detail.php?id=39149&keywords=&tid=0&lid=0,技术类,22851-腾讯视频新产品iOS客户端开发,2018-04-16,1
深圳,position_detail.php?id=39136&keywords=&tid=0&lid=0,技术类,SNG16-腾讯音乐多媒体AI研究员（深圳）,2018-04-16,3
北京,position_detail.php?id=39143&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯视频新产品内容运营,2018-04-16,1
北京,position_detail.php?id=39146&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新业务社区产品经理,2018-04-16,1
北京,position_detail.php?id=39148&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新产品内容拓展经理,2018-04-16,1
北京,position_detail.php?id=39151&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新业务用户运营经理,2018-04-16,1
深圳,position_detail.php?id=39138&keywords=&tid=0&lid=0,产品/项目类,WXG06-211 智慧零售时尚品牌行业运营经理 （深圳）,2018-04-16,1
上海,position_detail.php?id=39139&keywords=&tid=0&lid=0,市场类,WXG06-332 智慧零售时尚品牌行业运营经理 （上海）,2018-04-16,1
北京,position_detail.php?id=39141&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯视频纪录片频道内容运营,2018-04-16,2
北京,position_detail.php?id=39144&keywords=&tid=0&lid=0,产品/项目类,22851-腾讯视频新产品负责人,2018-04-16,1
上海,position_detail.php?id=39133&keywords=&tid=0&lid=0,技术类,19332-高级Web后台开发工程师（上海）,2018-04-16,2
深圳,position_detail.php?id=39124&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告SMB金融行业运营经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39140&keywords=&tid=0&lid=0,产品/项目类,27087-众创空间高级产品经理（深圳）,2018-04-16,1
北京,position_detail.php?id=39142&keywords=&tid=0&lid=0,技术类,22851-腾讯视频新产品android客户端开发,2018-04-16,1
