work_local,position_link,position_type,position_name,publish_times,position_number
深圳,position_detail.php?id=39032&keywords=&tid=0&lid=0,产品/项目类,26787-平台合作收入管理产品运营经理,2018-04-16,1
深圳,position_detail.php?id=39034&keywords=&tid=0&lid=0,技术类,25928-高级PC客户端开发工程师（深圳）,2018-04-16,1
广州,position_detail.php?id=39037&keywords=&tid=0&lid=0,产品/项目类,WXG03-211 微信城市服务医疗行业产品运营经理（广州）,2018-04-16,1
深圳,position_detail.php?id=39044&keywords=&tid=0&lid=0,产品/项目类,22989-腾讯云政务民生行业产品运营经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=39031&keywords=&tid=0&lid=0,产品/项目类,26787-平台合作成本控制产品经理,2018-04-16,1
深圳,position_detail.php?id=39033&keywords=&tid=0&lid=0,产品/项目类,MIG09-浏览器视频运营经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39035&keywords=&tid=0&lid=0,技术类,25928-高级移动客户端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39022&keywords=&tid=0&lid=0,设计类,17229-斯巴达2D原画设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39023&keywords=&tid=0&lid=0,技术类,25923-蓝鲸平台java高级工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39027&keywords=&tid=0&lid=0,技术类,RP-Web前端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39030&keywords=&tid=0&lid=0,职能类,CB-薪酬福利经理（深圳）,2018-04-16,1
上海,position_detail.php?id=39020&keywords=&tid=0&lid=0,设计类,15616-高级原画设计师（上海）,2018-04-16,1
深圳,position_detail.php?id=39025&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告自然语言处理高级研究员（微信广告 深圳）,2018-04-16,2
深圳,position_detail.php?id=39026&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告机器学习（微信广告）高级后台开发工程师（深圳）,2018-04-16,2
北京,position_detail.php?id=39028&keywords=&tid=0&lid=0,产品/项目类,23671-企鹅号渠道外发（北京）,2018-04-16,1
深圳,position_detail.php?id=39019&keywords=&tid=0&lid=0,市场类,19511-腾讯游戏战略分析经理（深圳）,2018-04-16,1
上海,position_detail.php?id=39021&keywords=&tid=0&lid=0,设计类,15616-3D人物角色美术（上海）,2018-04-16,1
上海,position_detail.php?id=39012&keywords=&tid=0&lid=0,产品/项目类,15573-SLG手游资深策划（上海）,2018-04-16,2
上海,position_detail.php?id=39014&keywords=&tid=0&lid=0,市场类,22989-企点电话销售高级经理（上海）,2018-04-16,1
深圳,position_detail.php?id=39016&keywords=&tid=0&lid=0,设计类,SD9-高级3D角色建模师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39018&keywords=&tid=0&lid=0,产品/项目类,15581-欢乐游戏运营策划（深圳）,2018-04-16,1
北京,position_detail.php?id=39007&keywords=&tid=0&lid=0,产品/项目类,21882-产品运营经理（医疗）,2018-04-16,1
上海,position_detail.php?id=39009&keywords=&tid=0&lid=0,技术类,20503-AI终端应用开发工程师（上海）,2018-04-16,1
上海,position_detail.php?id=39015&keywords=&tid=0&lid=0,产品/项目类,SNG04-内容平台产品经理（上海）,2018-04-16,1
深圳,position_detail.php?id=39017&keywords=&tid=0&lid=0,职能类,21530-腾讯音乐集团组织发展经理（深圳）,2018-04-16,1
北京,position_detail.php?id=39005&keywords=&tid=0&lid=0,产品/项目类,26381-OTA 运营经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39008&keywords=&tid=0&lid=0,市场类,SNG16-腾讯音乐娱乐营销方向品牌经理（深圳）,2018-04-16,1
上海,position_detail.php?id=39010&keywords=&tid=0&lid=0,技术类,15614-SLG手游后台开发工程师（上海）,2018-04-16,2
深圳,position_detail.php?id=39011&keywords=&tid=0&lid=0,设计类,25924-游戏视觉设计师（深圳）,2018-04-16,1
北京,position_detail.php?id=38998&keywords=&tid=0&lid=0,设计类,22086-体育电商设计（北京）,2018-04-16,1
深圳,position_detail.php?id=39001&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告高级数据产品经理（微信广告 深圳）,2018-04-16,2
深圳,position_detail.php?id=39003&keywords=&tid=0&lid=0,市场类,23873-PMO Director,2018-04-16,1
深圳,position_detail.php?id=38992&keywords=&tid=0&lid=0,产品/项目类,SD9-MMORPG剧情/任务游戏策划（深圳）,2018-04-16,3
深圳,position_detail.php?id=39013&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告SMB产品运营经理（深圳）,2018-04-16,2
北京,position_detail.php?id=39000&keywords=&tid=0&lid=0,内容编辑类,策划运营编辑,2018-04-16,1
深圳,position_detail.php?id=39002&keywords=&tid=0&lid=0,设计类,WXG06-411 微信支付高级品牌设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39006&keywords=&tid=0&lid=0,产品/项目类,21882-产品运营经理（医疗）,2018-04-16,1
深圳,position_detail.php?id=38994&keywords=&tid=0&lid=0,市场类,18432-高级金融合作经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=38995&keywords=&tid=0&lid=0,产品/项目类,23874-游戏评测方向游戏策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38988&keywords=&tid=0&lid=0,产品/项目类,SD9-刺激战场游戏策划（深圳）,2018-04-16,3
深圳,position_detail.php?id=38990&keywords=&tid=0&lid=0,产品/项目类,SD9-MMORPG职业/战斗游戏策划（深圳）,2018-04-16,3
深圳,position_detail.php?id=38993&keywords=&tid=0&lid=0,产品/项目类,17520-体育游戏运营(深圳),2018-04-16,2
广州,position_detail.php?id=38981&keywords=&tid=0&lid=0,技术类,WXG02-微信业务运营后台开发工程师（广州）,2018-04-16,1
深圳,position_detail.php?id=38986&keywords=&tid=0&lid=0,技术类,SD3-游戏客户端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38989&keywords=&tid=0&lid=0,产品/项目类,SD9-刺激战场关卡玩法设计游戏策划（深圳）,2018-04-16,3
深圳,position_detail.php?id=38991&keywords=&tid=0&lid=0,产品/项目类,SD9-MMORPG关卡/活动游戏策划（深圳）,2018-04-16,3
广州,position_detail.php?id=38979&keywords=&tid=0&lid=0,技术类,WXG02-133 微信资源优化架构师（广州）,2018-04-16,1
广州,position_detail.php?id=38982&keywords=&tid=0&lid=0,技术类,WXG02-113 微信大数据中心后台开发工程师（广州）,2018-04-16,1
深圳,position_detail.php?id=38983&keywords=&tid=0&lid=0,职能类,TEG-HRBP（深圳）,2018-04-16,1
深圳,position_detail.php?id=38985&keywords=&tid=0&lid=0,技术类,SD3-游戏客户端开发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38973&keywords=&tid=0&lid=0,技术类,18425-数据分析建模高级工程师（深圳）,2018-04-16,2
广州,position_detail.php?id=38976&keywords=&tid=0&lid=0,技术类,WXG02-133 微信推荐高级运维工程师（广州）,2018-04-16,1
深圳,position_detail.php?id=38978&keywords=&tid=0&lid=0,技术类,WXG02-133 微信小游戏高级运维工程师（广州/深圳）,2018-04-16,1
深圳,position_detail.php?id=38984&keywords=&tid=0&lid=0,技术类,SD3-互娱后台开发工程师(深圳),2018-04-16,2
深圳,position_detail.php?id=38987&keywords=&tid=0&lid=0,产品/项目类,SD9-刺激战场核心体验游戏策划（深圳）,2018-04-16,3
深圳,position_detail.php?id=38974&keywords=&tid=0&lid=0,技术类,WXG02-133 微信支付高级运维工程师（深圳）,2018-04-16,1
广州,position_detail.php?id=38977&keywords=&tid=0&lid=0,技术类,WXG02-133 微信小程序高级运维工程师（广州）,2018-04-16,1
广州,position_detail.php?id=38980&keywords=&tid=0&lid=0,技术类,WXG02-141 微信运维安全架构师（广州）,2018-04-16,1
上海,position_detail.php?id=38969&keywords=&tid=0&lid=0,技术类,MIG03-高级测试工程师（上海）,2018-04-16,2
北京,position_detail.php?id=38971&keywords=&tid=0&lid=0,技术类,23048-浏览器客户端开发工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=38960&keywords=&tid=0&lid=0,技术类,22989-腾讯云网络研发方案架构师（深圳）（北京）,2018-04-16,1
深圳,position_detail.php?id=38963&keywords=&tid=0&lid=0,产品/项目类,SNG08-微视产品运营（深圳）,2018-04-16,2
北京,position_detail.php?id=38965&keywords=&tid=0&lid=0,技术类,23671-数据开发工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=38970&keywords=&tid=0&lid=0,技术类,MIG15-后台开发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38972&keywords=&tid=0&lid=0,技术类,WXG02-112 微信技术运营高级工程师（广州/深圳）,2018-04-16,1
深圳,position_detail.php?id=38962&keywords=&tid=0&lid=0,技术类,22989-腾讯云网络后台研发工程师（深圳）,2018-04-16,5
深圳,position_detail.php?id=38964&keywords=&tid=0&lid=0,职能类,S2-WXG风控管理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38966&keywords=&tid=0&lid=0,产品/项目类,SD9-RPG手游数据分析(深圳),2018-04-16,1
深圳,position_detail.php?id=38953&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告公众号广告产品经理（微信广告 深圳）,2018-04-16,2
广州,position_detail.php?id=38957&keywords=&tid=0&lid=0,技术类,WXG03-143 微信开放平台后台安全策略工程师（广州）,2018-04-16,1
广州,position_detail.php?id=38959&keywords=&tid=0&lid=0,产品/项目类,WXG10-221 企业微信产品策划经理（广州）,2018-04-16,1
广州,position_detail.php?id=38948&keywords=&tid=0&lid=0,技术类,MIG08-Android客户端开发（广州）,2018-04-16,1
深圳,position_detail.php?id=38951&keywords=&tid=0&lid=0,设计类,MIG03-应用平台交互设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38956&keywords=&tid=0&lid=0,产品/项目类,SA-腾讯社交广告支撑系统产品经理（微信广告 深圳）,2018-04-16,2
深圳,position_detail.php?id=38958&keywords=&tid=0&lid=0,技术类,22989-腾讯云SDN/NFV网络虚拟化研发工程师（深圳）（北京）,2018-04-16,3
广州,position_detail.php?id=38961&keywords=&tid=0&lid=0,产品/项目类,WXG10-213 企业微信高级行业应用经理（广州）,2018-04-16,2
深圳,position_detail.php?id=38950&keywords=&tid=0&lid=0,产品/项目类,18425-境内核心支付产品策划经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=38954&keywords=&tid=0&lid=0,技术类,22989-硬件开发工程架构师（深圳）,2018-04-16,5
成都,position_detail.php?id=38940&keywords=&tid=0&lid=0,技术类,25927-游戏测试经理（成都）,2018-04-16,2
深圳,position_detail.php?id=38943&keywords=&tid=0&lid=0,技术类,TEG03-自然语言处理高级工程师（深圳）,2018-04-16,2
广州,position_detail.php?id=38947&keywords=&tid=0&lid=0,职能类,MIG08-财务经理（子公司）,2018-04-16,1
深圳,position_detail.php?id=38933&keywords=&tid=0&lid=0,职能类,18914-秘书,2018-04-16,1
深圳,position_detail.php?id=38936&keywords=&tid=0&lid=0,产品/项目类,18302-LBS手游数值策划,2018-04-16,1
深圳,position_detail.php?id=38942&keywords=&tid=0&lid=0,技术类,MIG18-开放平台前端开发工程师（深圳）,2018-04-16,1
上海,position_detail.php?id=38944&keywords=&tid=0&lid=0,技术类,25924-安卓客户端开发高级工程师（上海）,2018-04-16,1
深圳,position_detail.php?id=38949&keywords=&tid=0&lid=0,市场类,21087-（高级）战略规划/市场分析经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38935&keywords=&tid=0&lid=0,产品/项目类,18302-LBS手游关卡策划,2018-04-16,1
深圳,position_detail.php?id=38937&keywords=&tid=0&lid=0,产品/项目类,18302-LBS手游文案策划,2018-04-16,1
深圳,position_detail.php?id=38938&keywords=&tid=0&lid=0,技术类,25927-游戏测试经理（深圳）,2018-04-16,5
深圳,position_detail.php?id=38941&keywords=&tid=0&lid=0,技术类,25927-游戏高级测试开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38929&keywords=&tid=0&lid=0,职能类,IEG-招聘经理（深圳）,2018-04-16,1
广州,position_detail.php?id=38932&keywords=&tid=0&lid=0,市场类,22968-华南食品饮料行业策划经理（广州）,2018-04-16,1
深圳,position_detail.php?id=38918&keywords=&tid=0&lid=0,产品/项目类,TEG12-项目管理经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38939&keywords=&tid=0&lid=0,产品/项目类,18302-剑灵IP手游助理制作人,2018-04-16,1
深圳,position_detail.php?id=38928&keywords=&tid=0&lid=0,职能类,EC-高级品牌经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38930&keywords=&tid=0&lid=0,技术类,GY0-JOOX Andriod/ iOS开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38934&keywords=&tid=0&lid=0,产品/项目类,18302-LBS手游资深系统策划,2018-04-16,1
上海,position_detail.php?id=38920&keywords=&tid=0&lid=0,技术类,20503-业务发展总监（上海）,2018-04-16,1
上海,position_detail.php?id=38921&keywords=&tid=0&lid=0,技术类,20503-基础研究总监（上海）,2018-04-16,1
深圳,position_detail.php?id=38923&keywords=&tid=0&lid=0,技术类,22989-人工智能算法专家（NLP方向）（深圳/成都/上海/北京）,2018-04-16,2
深圳,position_detail.php?id=38926&keywords=&tid=0&lid=0,设计类,15611-设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38914&keywords=&tid=0&lid=0,产品/项目类,SNG08-推荐算法产品经理,2018-04-16,2
深圳,position_detail.php?id=38916&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点时尚垂类运营（深圳）,2018-04-16,1
深圳,position_detail.php?id=38922&keywords=&tid=0&lid=0,技术类,22989-人工智能算法专家（图像／视频方向）（深圳/成都/上海/北京）,2018-04-16,2
深圳,position_detail.php?id=38924&keywords=&tid=0&lid=0,技术类,SNG11-数据挖掘高级工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38913&keywords=&tid=0&lid=0,产品/项目类,SNG08-数据产品经理,2018-04-16,1
深圳,position_detail.php?id=38915&keywords=&tid=0&lid=0,产品/项目类,25928-游戏公共技术项目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38917&keywords=&tid=0&lid=0,技术类,20503-自动驾驶研发工程师,2018-04-16,3
深圳,position_detail.php?id=38919&keywords=&tid=0&lid=0,技术类,25923-DevOps开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38906&keywords=&tid=0&lid=0,设计类,24012-UI设计师（深圳）,2018-04-16,1
上海,position_detail.php?id=38909&keywords=&tid=0&lid=0,产品/项目类,15573-新侠风MMORPG资深数值策划（上海）,2018-04-16,2
深圳,position_detail.php?id=38911&keywords=&tid=0&lid=0,技术类,22090-视频播放质量测试工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38899&keywords=&tid=0&lid=0,设计类,15605-高级3D角色设计师(深圳),2018-04-16,1
深圳,position_detail.php?id=38912&keywords=&tid=0&lid=0,产品/项目类,SNG08-微视产品策划,2018-04-16,2
深圳,position_detail.php?id=38908&keywords=&tid=0&lid=0,技术类,25928-PHP开发工程师（深圳）,2018-04-16,1
上海,position_detail.php?id=38910&keywords=&tid=0&lid=0,设计类,15573-新侠风MMORPG 3D场景美术设计师（上海）,2018-04-16,2
深圳,position_detail.php?id=38897&keywords=&tid=0&lid=0,设计类,15605-资深UE4技术美术(深圳),2018-04-16,2
深圳,position_detail.php?id=38900&keywords=&tid=0&lid=0,设计类,15605-高级3D动画设计师(深圳),2018-04-16,1
深圳,position_detail.php?id=38901&keywords=&tid=0&lid=0,设计类,15605-高级3D特效设计师(深圳),2018-04-16,1
深圳,position_detail.php?id=38905&keywords=&tid=0&lid=0,设计类,24012-视觉设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38892&keywords=&tid=0&lid=0,产品/项目类,GY0-JOOX音乐产品策划（深圳）,2018-04-16,2
北京,position_detail.php?id=38895&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯视频母婴品类运营（北京）,2018-04-16,1
深圳,position_detail.php?id=38898&keywords=&tid=0&lid=0,设计类,15605-高级3D场景设计师(深圳),2018-04-16,1
深圳,position_detail.php?id=38903&keywords=&tid=0&lid=0,技术类,TEG02-运营开发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38907&keywords=&tid=0&lid=0,技术类,15602-后台开发工程师（深圳）,2018-04-16,4
深圳,position_detail.php?id=38894&keywords=&tid=0&lid=0,产品/项目类,25663-深度定制云高级行业运营经理（深圳）,2018-04-16,1
北京,position_detail.php?id=38896&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯时尚原创版权编辑（北京）,2018-04-16,1
北京,position_detail.php?id=38885&keywords=&tid=0&lid=0,职能类,21529-法务（北京）,2018-04-16,1
深圳,position_detail.php?id=38886&keywords=&tid=0&lid=0,技术类,15569-后台开发工程师（深圳）,2018-04-16,1
上海,position_detail.php?id=38889&keywords=&tid=0&lid=0,技术类,19332-高级PHP开发工程师（上海）,2018-04-16,1
深圳,position_detail.php?id=38891&keywords=&tid=0&lid=0,产品/项目类,18302-新动作手游资深系统策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38879&keywords=&tid=0&lid=0,产品/项目类,18402-移动游戏市场策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38883&keywords=&tid=0&lid=0,产品/项目类,23516-移动游戏运营PM（深圳）,2018-04-16,1
深圳,position_detail.php?id=38888&keywords=&tid=0&lid=0,技术类,MIG12-技术运营工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38890&keywords=&tid=0&lid=0,产品/项目类,18302-新动作手游关卡策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38893&keywords=&tid=0&lid=0,技术类,SNG06-手Q个性化产品iOS开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38882&keywords=&tid=0&lid=0,产品/项目类,18402-MMORPG手游本地化&商业化策划（深圳）,2018-04-16,1
北京,position_detail.php?id=38884&keywords=&tid=0&lid=0,技术类,MIG03-AI评价优化高级工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=38887&keywords=&tid=0&lid=0,技术类,25663-游戏云业务高级运维工程师（深圳）,2018-04-16,2
上海,position_detail.php?id=38873&keywords=&tid=0&lid=0,产品/项目类,20503-优图高级产品经理-行业应用（上海）,2018-04-16,1
深圳,position_detail.php?id=38875&keywords=&tid=0&lid=0,内容编辑类,SNG06-QQ动漫社区音视频内容运营经理（深圳）,2018-04-16,1
北京,position_detail.php?id=38877&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告推荐算法与系统工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=38881&keywords=&tid=0&lid=0,产品/项目类,18402-MMORPG手游数据分析（深圳）,2018-04-16,1
北京,position_detail.php?id=38871&keywords=&tid=0&lid=0,设计类,OMG097-交互设计师（北京）,2018-04-16,1
深圳,position_detail.php?id=38874&keywords=&tid=0&lid=0,内容编辑类,SNG06-QQ动漫资深内容运营经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38876&keywords=&tid=0&lid=0,内容编辑类,SNG06-QQ动漫内容运营经理（深圳）,2018-04-16,1
北京,position_detail.php?id=38878&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告数据分析工程师（北京）,2018-04-16,1
深圳,position_detail.php?id=38857&keywords=&tid=0&lid=0,技术类,24491-王者荣耀全球版-移动客户端开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38869&keywords=&tid=0&lid=0,市场类,23872-平台商务高级经理,2018-04-16,2
深圳,position_detail.php?id=38872&keywords=&tid=0&lid=0,产品/项目类,SNG16-QQ音乐开放平台产品策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38852&keywords=&tid=0&lid=0,产品/项目类,18402-移动游戏平台运营,2018-04-16,1
深圳,position_detail.php?id=38855&keywords=&tid=0&lid=0,产品/项目类,21087-移动游戏平台合作(深圳）,2018-04-16,1
深圳,position_detail.php?id=38858&keywords=&tid=0&lid=0,市场类,19116-商务策略经理（深圳）,2018-04-16,1
北京,position_detail.php?id=38870&keywords=&tid=0&lid=0,设计类,OMG097-视觉设计师（北京）,2018-04-16,1
广州,position_detail.php?id=38850&keywords=&tid=0&lid=0,产品/项目类,WXG08-211 微信搜一搜资讯内容运营经理（广州）,2018-04-16,1
深圳,position_detail.php?id=38854&keywords=&tid=0&lid=0,产品/项目类,MIG18-众创空间高级产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38856&keywords=&tid=0&lid=0,产品/项目类,MIG06-硬件产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38843&keywords=&tid=0&lid=0,技术类,SNG08-后台台开发工程师,2018-04-16,1
深圳,position_detail.php?id=38845&keywords=&tid=0&lid=0,产品/项目类,SNG08-微视推荐算法产品经理,2018-04-16,2
北京,position_detail.php?id=38847&keywords=&tid=0&lid=0,内容编辑类,17759-合同管理专员,2018-04-16,1
深圳,position_detail.php?id=38849&keywords=&tid=0&lid=0,产品/项目类,21309-腾讯课堂公考类目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38837&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告广告服务端Java开发工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38839&keywords=&tid=0&lid=0,技术类,25926-NLP算法工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38846&keywords=&tid=0&lid=0,技术类,MIG12-技术运营工程师,2018-04-16,1
深圳,position_detail.php?id=38848&keywords=&tid=0&lid=0,设计类,15611-3D角色设计师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38851&keywords=&tid=0&lid=0,产品/项目类,25663-智慧零售业务中心总监（深圳）,2018-04-16,1
深圳,position_detail.php?id=38838&keywords=&tid=0&lid=0,市场类,21482-王者荣耀职业联赛商业化经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38840&keywords=&tid=0&lid=0,技术类,SNG11-推荐/精准营销系统工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38841&keywords=&tid=0&lid=0,产品/项目类,MIG09-QQ浏览器赛事运营经理,2018-04-16,1
深圳,position_detail.php?id=38844&keywords=&tid=0&lid=0,内容编辑类,SNG08-微视KOL拓展运营经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=38832&keywords=&tid=0&lid=0,技术类,17520-U3D手游客户端开发工程师(深圳),2018-04-16,2
深圳,position_detail.php?id=38834&keywords=&tid=0&lid=0,产品/项目类,SNG01-QQ音视频高级产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38836&keywords=&tid=0&lid=0,技术类,15583-HTML5小游戏开发工程师(深圳),2018-04-16,1
深圳,position_detail.php?id=38842&keywords=&tid=0&lid=0,产品/项目类,MIG09-浏览器游戏平台运营经理,2018-04-16,1
深圳,position_detail.php?id=38831&keywords=&tid=0&lid=0,技术类,17520-U3D手游客户端开发工程师(深圳),2018-04-16,2
深圳,position_detail.php?id=38833&keywords=&tid=0&lid=0,技术类,SNG11-业务运维工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38835&keywords=&tid=0&lid=0,产品/项目类,SNG06-手Q动漫高级项目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38825&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点高级数据分析产品经理（深圳）,2018-04-16,2
深圳,position_detail.php?id=38826&keywords=&tid=0&lid=0,技术类,SNG11-推荐/精准营销系统工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38828&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌个性化推荐产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38830&keywords=&tid=0&lid=0,产品/项目类,SNG16-全民K歌直播营收产品策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=38820&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点综合功能类高级产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38822&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点互动社区类产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38827&keywords=&tid=0&lid=0,技术类,19867-游戏客户端开发工程师（深圳）,2018-04-16,3
北京,position_detail.php?id=38829&keywords=&tid=0&lid=0,技术类,SA-腾讯社交广告日志平台团队组长（北京）,2018-04-16,1
北京,position_detail.php?id=38818&keywords=&tid=0&lid=0,技术类,WXG08-122 微信推荐算法开发工程师（北京）,2018-04-16,3
深圳,position_detail.php?id=38821&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点高级产品经理（策划）-策略推荐类,2018-04-16,1
深圳,position_detail.php?id=38823&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点短视频类高级产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38824&keywords=&tid=0&lid=0,产品/项目类,SNG04-看点用户增长产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38810&keywords=&tid=0&lid=0,产品/项目类,SNG06-QQ会员产品运营经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38813&keywords=&tid=0&lid=0,市场类,23872-(Senior) Strategy Analysis Manager,2018-04-16,1
深圳,position_detail.php?id=38816&keywords=&tid=0&lid=0,技术类,22989-腾讯云企业业务中心前端研发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=38819&keywords=&tid=0&lid=0,技术类,SNG11-人工智能研究员（深圳）,2018-04-16,6
深圳,position_detail.php?id=38809&keywords=&tid=0&lid=0,职能类,S2-IEG财务管理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38812&keywords=&tid=0&lid=0,技术类,20718-精准推荐高级工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38815&keywords=&tid=0&lid=0,职能类,XZ-行政拓展经理,2018-04-16,1
深圳,position_detail.php?id=38817&keywords=&tid=0&lid=0,职能类,20765-政府及公共事务经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38802&keywords=&tid=0&lid=0,产品/项目类,WXG04-212 微信游戏社交产品经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38805&keywords=&tid=0&lid=0,设计类,14914-高级品牌创意经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=38808&keywords=&tid=0&lid=0,,SA-智慧零售高级市场传播经理（深圳）,2018-04-16,1
北京,position_detail.php?id=38795&keywords=&tid=0&lid=0,技术类,MIG09-QQ浏览器前端开发工程师,2018-04-16,1
广州,position_detail.php?id=38800&keywords=&tid=0&lid=0,职能类,S2-税务管理(广州),2018-04-16,1
北京,position_detail.php?id=38787&keywords=&tid=0&lid=0,职能类,CB-健康顾问（北京）,2018-04-16,1
深圳,position_detail.php?id=38806&keywords=&tid=0&lid=0,产品/项目类,18402-移动游戏高级运营经理(深圳）,2018-04-16,1
深圳,position_detail.php?id=38811&keywords=&tid=0&lid=0,,14914-医疗产品公关经理,2018-04-16,1
北京,position_detail.php?id=38799&keywords=&tid=0&lid=0,技术类,MIG16-自动驾驶仿真模拟系统-虚幻引擎工程师,2018-04-16,1
深圳,position_detail.php?id=38804&keywords=&tid=0&lid=0,市场类,22968-本土日化服饰用品销售,2018-04-16,1
深圳,position_detail.php?id=38788&keywords=&tid=0&lid=0,技术类,MIG03-Web前端开发（深圳）,2018-04-16,2
深圳,position_detail.php?id=38790&keywords=&tid=0&lid=0,市场类,HY5-互娱欧美商务经理（欧美重点客户）,2018-04-16,1
深圳,position_detail.php?id=38796&keywords=&tid=0&lid=0,设计类,MIG03-UI视觉设计师（APP）,2018-04-16,1
深圳,position_detail.php?id=38783&keywords=&tid=0&lid=0,技术类,15851-FPS游戏专项技术测试（深圳）,2018-04-16,2
深圳,position_detail.php?id=38785&keywords=&tid=0&lid=0,技术类,15851-游戏人工智能研究员（深圳）,2018-04-16,1
深圳,position_detail.php?id=38789&keywords=&tid=0&lid=0,技术类,MIG04-数据分析师（深圳）,2018-04-16,1
深圳,position_detail.php?id=38791&keywords=&tid=0&lid=0,技术类,15851-游戏后台开发工程师（深圳）,2018-04-16,1
